"variable","GROUP","concept","value","periode_group","time","siteid"
"C92","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C93","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"C94","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"C95","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D01","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D02","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D04","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D07","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D11","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D12","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D12","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D12","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"D13","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D17","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D17","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D18","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D18","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D23","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D25","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D26","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D29","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D29","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D32","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D32","NO_ARDS_sup_49","DIAG-ICD10",6,"all","all","FRBDX"
"D32","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D33","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D33","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D33","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D35","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D35","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D35","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D35","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D38","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D41","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D45","NO_ARDS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"D46","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"D47","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D47","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D47","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D47","NO_ARDS_sup_49","DIAG-ICD10",15,"all","all","FRBDX"
"D47","OTHERS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"D48","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"D50","ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D50","ARDS_sup_49","DIAG-ICD10",17,"all","all","FRBDX"
"D50","NO_ARDS_18_49","DIAG-ICD10",10,"all","all","FRBDX"
"D50","NO_ARDS_sup_49","DIAG-ICD10",52,"all","all","FRBDX"
"D50","OTHERS_sup_49","DIAG-ICD10",11,"all","all","FRBDX"
"D52","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D52","NO_ARDS_sup_49","DIAG-ICD10",17,"all","all","FRBDX"
"D52","OTHERS_sup_49","DIAG-ICD10",4,"all","all","FRBDX"
"D53","NO_ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"D55","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D55","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D56","ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D56","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D57","NO_ARDS_18_49","DIAG-ICD10",3,"all","all","FRBDX"
"D57","NO_ARDS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D57","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D57","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D58","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D59","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D59","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D60","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D61","ARDS_sup_49","DIAG-ICD10",3,"all","all","FRBDX"
"D61","NO_ARDS_sup_49","DIAG-ICD10",14,"all","all","FRBDX"
"D61","OTHERS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D61","OTHERS_sup_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D62","ARDS_18_49","DIAG-ICD10",3,"all","all","FRBDX"
"D62","ARDS_sup_49","DIAG-ICD10",6,"all","all","FRBDX"
"D62","NO_ARDS_18_49","DIAG-ICD10",-99,"all","all","FRBDX"
"D62","NO_ARDS_sup_49","DIAG-ICD10",12,"all","all","FRBDX"
